,Heading,Revewe,Description,URL,image
0,IBM Data Science,144K reviews,"Skills you'll gain: Dashboard, Data Visualization Software, Data Visualization, Predictive Modeling, SQL, Unsupervised Learning, Plotly, Interactive Data Visualization, Supervised Learning, Exploratory Data Analysis, Feature Engineering, Jupyter, Data Wrangling, Data Literacy, Data Analysis, Data Mining, Matplotlib, Generative AI, Professional Networking, Data Import/Export",https://www.coursera.org/professional-certificates/ibm-data-science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/23/22bc54f77f45a2b057f4ff518d272f/iStock-1169539468.jpg?auto=format%2C%20compress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop
1,IBM Data Analyst,93K reviews,"Skills you'll gain: Data Storytelling, Dashboard, Data Visualization Software, Plotly, Data Visualization, Predictive Modeling, Generative AI, SQL, Interactive Data Visualization, Exploratory Data Analysis, Data Wrangling, Data Analysis, Big Data, Matplotlib, IBM Cognos Analytics, Excel Formulas, Professional Networking, Data Import/Export, Microsoft Excel, Python Programming",https://www.coursera.org/professional-certificates/ibm-data-analyst,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/e0/a1698e6ba64096a1047114273e50c6/IBM-Data-Analyst.png?auto=format%2C%20compress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50
2,IBM Generative AI Engineering,88K reviews,"Skills you'll gain: Prompt Engineering, Large Language Modeling, Predictive Modeling, Unsupervised Learning, PyTorch (Machine Learning Library), Generative AI, Keras (Neural Network Library), ChatGPT, Supervised Learning, Flask (Web Framework), Exploratory Data Analysis, Feature Engineering, Data Wrangling, Unit Testing, Data Analysis, Deep Learning, Generative AI Agents, Applied Machine Learning, Application Deployment, Data Import/Export",https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ca/1f2b5191954fdb867790ef74e8cbe3/200859-Logo-image.png?auto=format%2C%20compress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50
3,IBM AI Developer,71K reviews,"Skills you'll gain: Prompt Engineering, Software Development Life Cycle, Software Architecture, Large Language Modeling, ChatGPT, Flask (Web Framework), Generative AI, Cascading Style Sheets (CSS), Software Design, Unit Testing, Scrum (Software Development), Bootstrap (Front-End Framework), Software Engineering, Software Design Patterns, Responsive Web Design, Data Import/Export, Python Programming, Interviewing Skills, Machine Learning, Data Science",https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/f3/2b860471b441f38659038b5ce24c1e/image-1-1-.png?auto=format%2C%20compress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50
4,Google Business Intelligence,3.4K reviews,"Skills you'll gain: Data Modeling, Stakeholder Engagement, Business Intelligence, Extract, Transform, Load, Database Design, Dashboard, Data Integration, Data Pipelines, Data Warehousing, Tableau Software, Business Analytics, Database Systems, Business Process, Interviewing Skills, Data Visualization, Applicant Tracking Systems, Business Analysis, Professional Development, Data Analysis, SQL",https://www.coursera.org/professional-certificates/google-business-intelligence,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/6d/29dadd54b4456e920818074da7256b/1060x596_GCC-photos_Travis.png?auto=format%2C%20compress%2C%20enhance&dpr=1&w=320&h=180&fit=crop&q=50&crop=faces
5,Deep Learning,146K reviews,"Skills you'll gain: Computer Vision, Deep Learning, Image Analysis, Natural Language Processing, Artificial Neural Networks, Tensorflow, Supervised Learning, Large Language Modeling, Artificial Intelligence and Machine Learning (AI/ML), Artificial Intelligence, Applied Machine Learning, PyTorch (Machine Learning Library), Machine Learning, Debugging, Performance Tuning, Keras (Neural Network Library), Python Programming, Machine Learning Algorithms, Linear Algebra, Analysis",https://www.coursera.org/specializations/deep-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a4/079d5e7c7b45ac9107f22bfcfeab91/Specialization-logo.png?auto=format%2C%20compress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50
6,AI in Healthcare,2.2K reviews,"Skills you'll gain: Feature Engineering, Healthcare Ethics, Pharmaceuticals, Data Ethics, Clinical Research, Health Systems, Healthcare Industry Knowledge, Medical Records, Unstructured Data, Health Care, Patient Evaluation, Health Informatics, Data Mining, Clinical Data Management, Statistical Machine Learning, Applied Machine Learning, Electronic Medical Record, Machine Learning, Artificial Intelligence, Health Technology",https://www.coursera.org/specializations/ai-healthcare,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/c0/7c9805bdef4f32a8b7aef5b5ba465e/Specialization-Image_600x600.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265
7,Data Science Foundations,113K reviews,"Skills you'll gain: Dashboard, Pseudocode, Jupyter, Algorithms, Data Literacy, Data Mining, Pandas (Python Package), Data Visualization Software, Correlation Analysis, Web Scraping, NumPy, Data Import/Export, Programming Principles, Predictive Modeling, Computer Programming Tools, Data Science, Machine Learning Algorithms, Unsupervised Learning, Machine Learning, Project Management",https://www.coursera.org/specializations/data-science-foundations,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ef/cf2f3ba81945708c528f4dac2604f1/s12n-1.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265
8,IBM Full Stack Software Developer,56K reviews,"Skills you'll gain: Prompt Engineering, Istio, Node.JS, Software Development Life Cycle, Software Architecture, Cloud Computing Architecture, Server Side, Application Deployment, React Redux, Kubernetes, Cloud Services, Django (Web Framework), Object-Relational Mapping, Git (Version Control System), Flask (Web Framework), Full-Stack Web Development, Cascading Style Sheets (CSS), Cloud Computing, Data Import/Export, Interviewing Skills",https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/18/2aa16c328a457cb910aa933bf2cd87/Professional-Certificate-Cloud-App.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265
9,IBM AI Product Manager,28K reviews,"Skills you'll gain: Prompt Engineering, Generative AI, New Product Development, Product Management, Product Lifecycle Management, Product Development, Innovation, Product Roadmaps, ChatGPT, Product Planning, Commercialization, Artificial Intelligence, Product Strategy, Project Management Life Cycle, OpenAI, Stakeholder Engagement, Stakeholder Management, Competitive Analysis, Product Testing, Business Development",https://www.coursera.org/professional-certificates/ibm-ai-product-manager,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/5b/36b3f2a4b24e33990c54a11d0f6527/1200x1200_AdobeStock_534595938.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265
10,IBM DevOps and Software Engineering,61K reviews,"Skills you'll gain: User Story, CI/CD, Istio, Open Web Application Security Project (OWASP), Continuous Integration, Software Development Life Cycle, Software Architecture, Linux Commands, Cloud Computing Architecture, Application Deployment, Test Driven Development (TDD), Gherkin (Scripting Language), Jenkins, DevOps, Git (Version Control System), Flask (Web Framework), Grafana, Software Engineering, Data Import/Export, Application Development",https://www.coursera.org/professional-certificates/devops-and-software-engineering,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/15/5a6680ad944ecc8fdf50668cedc39f/IBM-DevOps-and-Software-Engineering.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265
