,idx,platform,head,review,description,image,url,course
40,40,coursera,Introduction to Artificial Intelligence (AI),20K reviews,"Skills you'll gain: Generative AI, ChatGPT, Natural Language Processing, Market Opportunities",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a7/edd3b41ddd45298d7bbcb04b19fba6/200766_Logo-Image_1200x1200pxl-copy-3.png?auto=format%2C%20compress%2C%20enhance&dpr=1&w=320&h=180&q=50&fit=crop,https://www.coursera.org/learn/introduction-to-ai,AI and Machine Learning
28,28,simplilearn,Machine Learning using Python,4.5 (14791),"Supervised and unsupervised learning,Time series modeling,,,,,,,,",https://www.simplilearn.com/ice9/accreditation_images/Category_Logos/Python_48px.svgz,https://www.simplilearn.com/big-data-and-analytics/machine-learning-certification-training-course?tag=AI%20and%20Machine%20Learning,AI and Machine Learning
4,4,edx,Introduction to AI & Machine Learning in Healthcare,MGH_Institute,,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2Ffa3fe5e7-5100-40a1-b56b-c44b893d92a6-8dd6dff92a89.png&w=256&q=75,https://www.edx.org/learn/data-analysis-statistics/mgh-institute-of-health-professions-introduction-to-ai-machine-learning-in-healthcare?index=product&queryId=75726a2c7618ef49b2c9ae3623d27f4c&position=1,AI and Machine Learning
0,0,learnvern,Recruiter Training Course in English,5748,,https://assets.learnvern.com/course/icons/65197.svg,https://www.learnvern.com/recruitment-training,AI and Machine Learning
41,41,coursera,Generative AI: Introduction and Applications,2.9K reviews,"Skills you'll gain: Generative AI, ChatGPT, OpenAI, Prompt Engineering, Large Language Modeling, Artificial Intelligence, Program Development, Content Creation, Image Analysis, Virtual Environment",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/b0/ca7b7874b64bce8ff67a727e8f7cc4/GenAI_Logo-Image-2_1200x1200pxl-copy.jpg?auto=format%2C%20compress%2C%20enhance&dpr=1&w=320&h=180&fit=crop&q=50,https://www.coursera.org/learn/generative-ai-introduction-and-applications,AI and Machine Learning
29,29,simplilearn,Professional Certificate in AI and Machine Learning,4.7 (4338),"Generative AI,Prompt Engineering,ChatGPT,,,,,,,,,,",https://www.simplilearn.com/ice9/accreditation_icons/IBM_logo%20(1).svgz,https://www.simplilearn.com/pgp-ai-machine-learning-certification-training-course?tag=AI%20and%20Machine%20Learning,AI and Machine Learning
5,5,edx,Introduction to AI,ArmEducationX,,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2F5f1b3a31-014f-44e0-ade4-829a9d4b8334-00d7ebd79ee5.png&w=256&q=75,https://www.edx.org/learn/computer-science/arm-education-introduction-to-ai?index=product&queryId=75726a2c7618ef49b2c9ae3623d27f4c&position=2,AI and Machine Learning
1,1,learnvern,DevOps Containerization with Docker,2610,,https://assets.learnvern.com/course/icons/76450.svg,https://www.learnvern.com/docker-and-kubernetes-tutorial,AI and Machine Learning
42,42,coursera,Introduction to AI,1.9K reviews,"Skills you'll gain: Generative AI, Artificial Intelligence and Machine Learning (AI/ML), Machine Learning Software, Machine Learning, Innovation, Data Quality, Critical Thinking",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/f3/a1a45dadb04ed882cad2d1ed5b7544/AIE---Course-page-hero-image.jpg?auto=format%2C%20compress%2C%20enhance&dpr=1&w=320&h=180&fit=crop&q=50&crop=faces,https://www.coursera.org/learn/google-introduction-to-ai,AI and Machine Learning
30,30,simplilearn,Professional Certificate Course in Generative AI and Machine Learning,4.7 (4560),"Generative AI,Prompt Engineering,Large Language Models,,,,,,,,,,,,",https://www.simplilearn.com/ice9/accreditation_images/Category_Logos/Azure_48px.svgz,https://www.simplilearn.com/iitk-professional-certificate-course-ai-machine-learning?tag=AI%20and%20Machine%20Learning,AI and Machine Learning
6,6,edx,Artificial Intelligence in Government,UMD,,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2Fac5b634b-1d88-43d5-8199-1142a2e4fc96-0f3719f6fbd4.png&w=256&q=75,https://www.edx.org/learn/engineering/university-system-of-maryland-artificial-intelligence-in-government?index=product&queryId=75726a2c7618ef49b2c9ae3623d27f4c&position=3,AI and Machine Learning
2,2,learnvern,Graphic Designing With Adobe Illustrator,52341,,https://assets.learnvern.com/course/icons/98861.svg,https://www.learnvern.com/course/illustrator-tutorial,AI and Machine Learning
43,43,coursera,Mathematics for Machine Learning and Data Science,2.8K reviews,"Skills you'll gain: Descriptive Statistics, Bayesian Statistics, Statistical Hypothesis Testing, Probability & Statistics, Sampling (Statistics), Probability Distribution, Linear Algebra, Statistical Inference, A/B Testing, Statistical Analysis, Statistical Machine Learning, Applied Mathematics, NumPy, Probability, Calculus, Dimensionality Reduction, Mathematical Modeling, Machine Learning, Machine Learning Methods, Jupyter",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/8c/b75571d8ad4d24bddff436beab0bad/DL_Square_Banner_Coursera_800x800.png?auto=format%2C%20compress%2C%20enhance&dpr=1&w=320&h=180&fit=crop&q=50,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science,AI and Machine Learning
31,31,simplilearn,Professional Certificate Program in Generative AI and Machine Learning - IITG,4.8 (808),"Generative AI,Prompt Engineering,Chatbot Development,,,,,,,,,,,",https://www.simplilearn.com/ice9/accreditation_icons/IBM_logo%20(1).svgz,https://www.simplilearn.com/iitg-generative-ai-machine-learning-program?tag=AI%20and%20Machine%20Learning,AI and Machine Learning
7,7,edx,Advanced Principles & Topics in AI & Machine Learning in Healthcare,MGH_Institute,,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2Ffa3fe5e7-5100-40a1-b56b-c44b893d92a6-8dd6dff92a89.png&w=256&q=75,https://www.edx.org/learn/data-analysis-statistics/mgh-institute-of-health-professions-advanced-principles-topics-in-ai-machine-learning-in-healthcare?index=product&queryId=75726a2c7618ef49b2c9ae3623d27f4c&position=4,AI and Machine Learning
3,3,learnvern,Recruiter Training Course,9675,,https://assets.learnvern.com/course/icons/18593.svg,https://www.learnvern.com/recruitment-training-in-hindi,AI and Machine Learning
44,44,coursera,"Python for Data Science, AI & Development",42K reviews,"Skills you'll gain: Jupyter, Python Programming, Data Structures, Web Scraping, Data Manipulation, Programming Principles, Pandas (Python Package), Computer Programming, Object Oriented Programming (OOP), Restful API, NumPy, Application Programming Interface (API), Data Analysis, Data Import/Export, File Management",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/fc/c1b8dfbac740999b6256aca490de43/Python-Image.jpg?auto=format%2C%20compress%2C%20enhance&dpr=1&w=320&h=180&fit=crop&q=50,https://www.coursera.org/learn/python-for-applied-data-science-ai,AI and Machine Learning
32,32,simplilearn,Professional Certificate in AI and Machine Learning,Duration: 6 months,"Generative AI,Agentic AI,Prompt Engineering,,,,,,,,,,,",https://www.simplilearn.com/ice9/accreditation_icons/IBM_logo%20(1).svgz,https://www.simplilearn.com/professional-aiml-program?tag=AI%20and%20Machine%20Learning,AI and Machine Learning
8,8,edx,From Code to Creation: Mastering Game Programming,HP,,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2F2b6a09a3-61a9-415b-9048-cf90451c6bb2-681cbc2f42ed.png&w=256&q=75,https://www.edx.org/learn/game-development/hp-from-code-to-creation-mastering-game-programming?index=product&queryId=75726a2c7618ef49b2c9ae3623d27f4c&position=5,AI and Machine Learning
64,64,learnvern,Data Science Course,53162,,https://assets.learnvern.com/course/icons/62419.svg,https://www.learnvern.com/course/data-science-tutorial,Data Science and Analytics
45,45,coursera,Foundations of AI and Machine Learning,142 reviews,"Skills you'll gain: Data Management, Artificial Intelligence and Machine Learning (AI/ML), Infrastructure Architecture, Cloud Infrastructure, MLOps (Machine Learning Operations), Application Deployment, Data Processing, Data Cleansing, Artificial Intelligence, Data Security, Application Frameworks, PyTorch (Machine Learning Library), Machine Learning, Tensorflow, Data Pipelines, Scikit Learn (Machine Learning Library), Scalability",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d1/ed945dd15942a5b89e92352a4a1f71/Depositphotos_302544340_XL_C1.jpg?auto=format%2C%20compress%2C%20enhance&dpr=1&w=320&h=180&fit=crop&q=50,https://www.coursera.org/learn/foundations-of-ai-and-machine-learning,AI and Machine Learning
33,33,simplilearn,Microsoft Certified Azure AI Engineer Associate: AI 102,4.7 (249),"Plan and manage an Azure AI solution,Implement decision support solutions,,,,",https://www.simplilearn.com/ice9/accreditation_images/Category_Logos/Azure_48px.svgz,https://www.simplilearn.com/microsoft-azure-ai-102-certification?tag=AI%20and%20Machine%20Learning,AI and Machine Learning
9,9,edx,FinTech Technologies,HKUx,,https://www.edx.org/_next/image?url=https%3A%2F%2Fprod-discovery.edx-cdn.org%2Forganization%2Flogos%2F5024b547-2d68-4bfd-9e9e-1e5f96c13375-c9b5e39fb8af.png&w=256&q=75,https://www.edx.org/learn/fintech/university-of-hong-kong-fintech-technologies?index=product&queryId=75726a2c7618ef49b2c9ae3623d27f4c&position=6,AI and Machine Learning
65,65,learnvern,Data Science,53162,,https://assets.learnvern.com/course/icons/88422.svg,https://www.learnvern.com/live-course/data-science-course,Data Science and Analytics
