,Heading,Revewe,URL,price,image
0,Android Development For Beginners,104603,https://www.learnvern.com/course/android-tutorial,,https://assets.learnvern.com/course/icons/89234.svg
1,Advanced Android Application Development Course,66913,https://www.learnvern.com/course/advance-android-programming-tutorial,,https://assets.learnvern.com/course/icons/94030.svg
2,UI Development with Angular Tutorial,7160,https://www.learnvern.com/course/angular-tutorial,,https://assets.learnvern.com/course/icons/14665.svg
3,React Js for Web Development,22569,https://www.learnvern.com/course/reactjs-tutorial,,https://assets.learnvern.com/course/icons/58690.svg
4,The Complete React Native Developer Course,5673,https://www.learnvern.com/react-native-tutorial,,https://assets.learnvern.com/course/icons/17836.svg
5,Core Java Course,84068,https://www.learnvern.com/course/core-java-programming-tutorial,,https://assets.learnvern.com/course/icons/82651.svg
6,Laravel Course - The PHP Framework,6095,https://www.learnvern.com/laravel-tutorial,,https://assets.learnvern.com/course/icons/88209.svg
7,Python Flask Course - Create A Complete Website,15659,https://www.learnvern.com/python-flask-tutorial,,https://assets.learnvern.com/course/icons/75436.svg
8,Web Designing with CSS3 Course in Tamil,2504,https://www.learnvern.com/css3-tutorial-in-tamil,,https://assets.learnvern.com/course/icons/94198.svg
9,Web Designing with CSS3 Course in English,7119,https://www.learnvern.com/css3-tutorial,,https://assets.learnvern.com/course/icons/72774.svg
10,Web Designing with CSS3 Course,43423,https://www.learnvern.com/course/css3-tutorial-in-hindi,,https://assets.learnvern.com/course/icons/53264.svg
11,Graphic Designing with Photoshop in Telugu,6953,https://www.learnvern.com/photoshop-tutorial-in-telugu,,https://assets.learnvern.com/course/icons/45988.svg
12,Graphic Designing with Photoshop in Tamil,5735,https://www.learnvern.com/photoshop-tutorial-in-tamil,,https://assets.learnvern.com/course/icons/26880.svg
13,Graphic Designing with Photoshop in English,13731,https://www.learnvern.com/photoshop-tutorial,,https://assets.learnvern.com/course/icons/98485.svg
14,Graphic Designing with Photoshop,177582,https://www.learnvern.com/course/photoshop-tutorial-in-hindi,,https://assets.learnvern.com/course/icons/37616.svg
15,Career In Sales,18425,https://www.learnvern.com/sales-and-marketing-course,,https://assets.learnvern.com/course/icons/87645.svg
